,total_bill,tip,sex,smoker,day,time,size,tip_percentage
178,9.6,4.0,Female,Yes,Sun,Dinner,2,0.4166666666666667
179,34.63,3.55,Male,Yes,Sun,Dinner,2,0.102512272596015
181,23.33,5.65,Male,Yes,Sun,Dinner,2,0.2421774539219889
184,40.55,3.0,Male,Yes,Sun,Dinner,2,0.07398273736128237
190,15.69,1.5,Male,Yes,Sun,Dinner,2,0.09560229445506692
208,24.27,2.03,Male,Yes,Sat,Dinner,2,0.08364235681911825
209,12.76,2.23,Female,Yes,Sat,Dinner,2,0.17476489028213166
213,13.27,2.5,Female,Yes,Sat,Dinner,2,0.18839487565938207
215,12.9,1.1,Female,Yes,Sat,Dinner,2,0.08527131782945736
217,11.59,1.5,Male,Yes,Sat,Dinner,2,0.12942191544434858
218,7.74,1.44,Male,Yes,Sat,Dinner,2,0.18604651162790697
228,13.28,2.72,Male,No,Sat,Dinner,2,0.20481927710843376
229,22.12,2.88,Female,Yes,Sat,Dinner,2,0.13019891500904157
232,11.61,3.39,Male,No,Sat,Dinner,2,0.29198966408268734
233,10.77,1.47,Male,No,Sat,Dinner,2,0.13649025069637882
234,15.53,3.0,Male,Yes,Sat,Dinner,2,0.19317450096587252
235,10.07,1.25,Male,No,Sat,Dinner,2,0.12413108242303872
236,12.6,1.0,Male,Yes,Sat,Dinner,2,0.07936507936507936
237,32.83,1.17,Male,Yes,Sat,Dinner,2,0.03563813585135547
240,27.18,2.0,Female,Yes,Sat,Dinner,2,0.07358351729212656
241,22.67,2.0,Male,Yes,Sat,Dinner,2,0.08822232024702249
242,17.82,1.75,Male,No,Sat,Dinner,2,0.09820426487093153
243,18.78,3.0,Female,No,Thur,Dinner,2,0.1597444089456869
