"Date","Mercury","Lead","Location"
2016-11-13,NA,NA,"River"
2016-11-14,578.1,182.9,"River"
2016-11-15,769.2,246.8,"River"
2016-11-16,515.5,301,"River"
2016-11-17,579.6,412.4,"River"
2016-11-18,592.8,341.5,"River"
2016-11-19,656.1,287.5,"River"
2016-11-20,518,214.4,"River"
2016-11-21,764.7,93.3,"River"
2016-11-22,875,155.9,"River"
2016-11-23,706,470.2,"River"
2016-11-24,666.3,265.8,"River"
2016-11-25,907.4,160.5,"River"
2016-11-26,647.2,245.1,"River"
2016-11-27,600.9,150,"River"
2016-11-28,NA,NA,"River"
2016-11-29,760.1,230.5,"River"
2016-11-30,759.4,99.1,"River"
2016-12-01,662.1,149.3,"River"
2016-12-02,NA,NA,"River"
2016-12-03,601.2,220.1,"River"
2016-12-04,742.3,194.4,"River"
2016-12-05,NA,NA,"River"
2016-12-06,744.1,67.9,"River"
2016-12-07,680.5,189.5,"River"
2016-12-08,NA,NA,"River"
2016-12-09,690.5,170.2,"River"
2016-12-10,514.5,277.5,"River"
2016-12-11,NA,NA,"River"
2016-12-12,639.7,473,"River"
2016-12-13,639.4,142.6,"River"
2016-12-14,NA,NA,"River"
2016-12-15,805,192.2,"River"
2016-12-16,557.5,206.1,"River"
2016-12-17,634.3,174.3,"River"
2016-12-18,554.9,164.1,"River"
2016-12-19,630.8,187.8,"River"
2016-12-20,NA,NA,"River"
2016-12-21,612.6,225.9,"River"
2016-12-22,626.1,241.1,"River"
2016-12-23,NA,NA,"River"
2016-12-24,759.8,354,"River"
2016-12-25,627.5,389.2,"River"
2016-12-26,618.8,465.4,"River"
2016-12-27,702.6,272.7,"River"
2016-12-28,NA,NA,"River"
2016-12-29,677,223.6,"River"
2016-12-30,645.8,213.7,"River"
2016-12-31,NA,NA,"River"
2017-01-01,606.5,171,"River"
2017-01-02,840.7,144.6,"River"
2017-01-03,712.8,87.9,"River"
2017-01-04,696.4,183.6,"River"
2017-01-05,600.8,238.2,"River"
2017-01-06,786,286.4,"River"
2017-01-07,552.1,85.5,"River"
2017-01-08,653,75.4,"River"
2017-01-09,736.2,160.7,"River"
2017-01-10,550.5,191.1,"River"
2017-01-11,646.5,341,"River"
2017-01-12,827.6,312.2,"River"
2017-01-13,851.3,287.7,"River"
2017-01-14,628.6,400.9,"River"
2017-01-15,850,383.4,"River"
2017-01-16,645.1,176.3,"River"
2017-01-17,861.9,100.5,"River"
2017-01-18,669,78.8,"River"
2017-01-19,599.6,225.7,"River"
2017-01-20,933.3,315.4,"River"
2017-01-21,666.3,167.5,"River"
2017-01-22,733.8,323.2,"River"
2017-01-23,NA,NA,"River"
2017-01-24,768.4,223,"River"
2017-01-25,703.3,33.7,"River"
